run_id,task_id,task_key,name,project,cwd,created_at,finished_at,duration_s,complexity,est_minutes,profile,model,read_only,prompt_chars,quality,worth_it,api_calls,output_tokens,input_tokens,cached_input_tokens,peak_context,thinking_chars,text_chars,tool_calls,blocked_category,n_blocked,verified,verified_iterations,batch_id,task_status
7209413f,,,e2e-fast-probe,/home/svyatoslav/.claude/claude-local-delegate,/home/svyatoslav/.claude/claude-local-delegate,1789112288.785692,1789112308.4442618,18.0,trivial,1,fast,local-fast,True,144,50,40,2,48,40885,18816,20773,0,29,1,,0,0,,,
2ef29b69,,,e2e-tools-probe,/home/svyatoslav/.claude/claude-local-delegate,/home/svyatoslav/.claude/claude-local-delegate,1789112843.71955,1789112863.3521686,18.23,trivial,1,fast,local-fast,True,144,50,50,2,48,8099,3136,4380,0,29,1,,0,0,,,
f32aa7ab,917fd180a70c46539c91ebe706fc6cdd,smoke-test-new-routing-2026-09-11,smoke-fast-routing,/home/svyatoslav/.claude/claude-local-delegate,/home/svyatoslav/.claude/claude-local-delegate,1789113135.8266635,1789113188.7815995,32.62,trivial,1,fast,local-fast,True,511,90,85,2,153,6807,1568,4022,0,366,1,,0,0,,,done
4ead1af1,917fd180a70c46539c91ebe706fc6cdd,smoke-test-new-routing-2026-09-11,smoke-think-routing,/home/svyatoslav/.claude/claude-local-delegate,/home/svyatoslav/.claude/claude-local-delegate,1789113139.2188163,1789113188.977337,37.42,medium,3,think,default_model,True,576,88,80,2,1408,9216,1568,6400,2989,2427,2,,0,0,,,done
6a3b468a,7d27a833c3af422cbf4d6b5bf6e03309,sim-real-p01-units-frames-contracts,sim-real-p01-units-frames,/home/svyatoslav/Projects/virtual-hal-stable/virtual-hal,/home/svyatoslav/Projects/virtual-hal-stable/virtual-hal,1789113447.4102986,1789114072.8332703,615.85,,,think,default_model,False,904,92,95,22,28128,1167465,1077216,74810,51016,3350,31,,0,0,,,done
5d0bb8df,bfb6f4a2be9048b99f96dbff79b6a548,sim-real-p11-transmission-params,sim-real-p11-transmission-params,/home/svyatoslav/Projects/virtual-hal-stable/virtual-hal,/home/svyatoslav/Projects/virtual-hal-stable/virtual-hal,1789113450.827185,1789116179.2451115,931.17,,,think,default_model,False,952,94,94,48,47310,2737305,2640512,79422,80339,5200,54,,0,0,,,done
61c86a3c,f135a95ff7c644a1914c0ac9e466eda8,sim-real-p11-sim-real-identifiability,sim-real-p11-identifiability,/home/svyatoslav/Projects/virtual-hal-stable/virtual-hal,/home/svyatoslav/Projects/virtual-hal-stable/virtual-hal,1789113454.2863882,1789116535.7358057,3069.68,,,think,default_model,False,812,94,96,69,118331,4643087,4506432,97329,271506,10487,82,,0,0,,,done
5e30f9ee,605d9a43ef0e4f85a7bf248621306194,sim-real-datasets-normalize,sim-real-normalize,/home/svyatoslav/Projects/virtual-hal-stable/virtual-hal,/home/svyatoslav/Projects/virtual-hal-stable/virtual-hal,1789116641.5786352,,,small,12,fast,local-fast,False,1640,,,,,,,,,,,,0,0,,,active
74ac040c,ce24e89957d047f1895848556f894ce0,sim-real-pool-seven-small-direct,sim-real-ci,/home/svyatoslav/Projects/virtual-hal-stable/virtual-hal,/home/svyatoslav/Projects/virtual-hal-stable/virtual-hal,1789117392.2537167,1789119267.7506702,872.88,small,12,fast,local-fast,False,1604,84,90,37,12158,1465860,1411200,53144,0,1856,37,,0,0,,,active
5e5877be,e2cae2b7ba0f4e4a8160be053a81d7e7,sim-real-fit-small,sim-real-fit,/home/svyatoslav/Projects/virtual-hal-stable/virtual-hal,/home/svyatoslav/Projects/virtual-hal-stable/virtual-hal,1789117416.1554043,,,small,12,fast,local-fast,False,717,,,,,,,,,,,,0,0,,,active
